title,author,advisor,year,university,state,pages,subfield,is_sensitive,keywords_raw
Natural Resources and Spatial Spillovers,"Batbold, Dulguun","Roe, Terry",2015,University of Minnesota,Minnesota,84,Geography,FALSE,"Applied sciences; Social sciences; Bakken; Economic impact; Natural resources; Shale energy; Spatial spillovers; Tolgoi, Oyu; Geography; Energy; Labor economics; Economics; 0366:Geography; 0510:Labor economics; 0501:Economics; 0791:Energy"
Essays on Urban and International Economics,"Li, Jinyue","Kehoe, Timothy J.",2015,University of Minnesota,Minnesota,117,Economic Theory,FALSE,Social sciences; International economics; Urban economics; Finance; Economic theory; Economics; 0511:Economic theory; 0501:Economics; 0508:Finance
"The role of soils in production: Aggregation, separability, and yield decomposition in Kenyan agriculture","Pieralli, Simone","Chambers, Robert G.",2015,"University of Maryland, College Park",Maryland,163,Sub Saharan Africa Studies,FALSE,Pure sciences; Social sciences; Biological sciences; Inverse land size-yield relationship; Production economics; Productivity; Separability; Soil; Sub-saharan africa; Statistics; Soil sciences; Sub Saharan Africa studies; Economic theory; Agricultural economics; 0639:Sub Saharan Africa Studies; 0503:Agricultural economics; 0511:Economic theory; 0481:Soil sciences; 0463:Statistics
Essays in monetary economics and business cycles,"Cuba Borda, Pablo Alfredo","Aruoba, Boragan",2015,"University of Maryland, College Park",Maryland,205,Economics,FALSE,Social sciences; Business cycles; DSGE models; Dynamic stochastic general equilibrium; Great Recession; Monetary economics; Nonlinear methods; Slow recovery; Economics; 0501:Economics
Economic dynamics of movement: Envrionmental changes and spatial spillover,"Yun, Seong Do","Gramig, Benjamin M.; Florax, Raymond JGM",2015,Purdue University,Indiana,185,Agricultural Economics,FALSE,Social sciences; Climate change; Economic behavior; Economic method; Envrionmental changes; Spatial spillover; Weather extremes; Environmental economics; Agricultural economics; Economics; 0503:Agricultural economics; 0501:Economics; 0438:Environmental economics
Essays on Public Economics,"Elias Moreno, Ferran","Kopczuk, Wojciech; MacLeod, William Bentley",2015,Columbia University,New York,220,Economics,FALSE,Social sciences; Labor economics; Political economy; Public economics; Economics; 0501:Economics
Essays on information disclosure policies and private provision of public goods,"Li, Yuanhao","van 't Veld, Klaas; Shogren, Jason",2015,University of Wyoming,Wyoming,105,Behavioral Sciences,FALSE,Social sciences; Psychology; Eco-labeling; Environmental economics; Experimental economics; Information disclosure policy; Public good provision; Behavioral sciences; Economics; 0602:Behavioral Sciences; 0501:Economics; 0438:Environmental economics
"Forage grass-legume mixture for improved forage yield, forage quality, stand persistence, soil properties, and economics","Dhakal, Dhruba","Islam, M. Anowarul",2015,University of Wyoming,Wyoming,245,Agricultural Economics,FALSE,Social sciences; Biological sciences; Carbon; Forage; Grass-legume mixture; Nitrogen; Soil microbes; Agronomy; Soil sciences; Agricultural economics; Fertilizers; Organic matter; Dry matter; Organic carbon; Community structure; Grasses; Alfalfa; Meadows; Monoculture; Soil organic matter; Seeding; Soil properties; Urea; Spring; Economics; 0503:Agricultural economics; 0481:Soil sciences; 0285:Agronomy
Essays on Technology and the Environment from an International Perspective,"Barrows, Geoffrey Masters","Zilberman, David",2015,"University of California, Berkeley",California,134,Agricultural Economics,FALSE,Social sciences; Heterogeneous firms; Product mix; Technology adoption; Trade and the environment; Environmental economics; Agricultural economics; Economics; 0503:Agricultural economics; 0501:Economics; 0438:Environmental economics
Modeling Adaptive Economic Agents with PID Controllers,"Carrella, Ernesto","Axtell, Robert",2015,George Mason University,Virginia,125,Economic Theory,FALSE,Pure sciences; Social sciences; Applied sciences; Agent-based models; Economic simulations; Macro-economics; Micro-economics; Proportional integral derivative controllers; Statistics; Computer science; Economic theory; Economics; 0511:Economic theory; 0501:Economics; 0463:Statistics; 0984:Computer science
